Date,Narration,Debit,Credit
01/01/2026,OPENING BALANCE,,50000.00
02/01/2026,UPI/SWIGGY/123456789,450.00,
03/01/2026,NEFT/SALARY/TECHCORP,,80000.00
04/01/2026,UPI/ZOMATO/987654321,320.00,
05/01/2026,AMAZON PAY INDIA,1500.00,
06/01/2026,NETFLIX SUBSCRIPTION,499.00,
10/01/2026,ATM WITHDRAWAL SBI,5000.00,
12/01/2026,UPI/Blinkit/grocery,850.00,
15/01/2026,HDFC LIFE INSURANCE EMI,2500.00,
18/01/2026,UBER INDIA,350.00,
20/01/2026,RELIANCE SMART,4200.00,
22/01/2026,OLA CABS,250.00,
25/01/2026,UPI/Zepto/grocery,600.00,
28/01/2026,AIRTEL POSTPAID BILL,899.00,
30/01/2026,UPI/SWIGGY/11223344,550.00,
01/02/2026,UPI/STARBUCKS/COFFEE,450.00,
02/02/2026,NEFT/SALARY/TECHCORP,,80000.00
04/02/2026,AMAZON RETAIL,2100.00,
05/02/2026,NETFLIX SUBSCRIPTION,499.00,
08/02/2026,UPI/ZOMATO/22334455,520.00,
10/02/2026,HDFC LIFE INSURANCE EMI,2500.00,
12/02/2026,UBER INDIA,410.00,
14/02/2026,UPI/BOOKMYSHOW/MOVIES,1200.00,
15/02/2026,RELIANCE SMART,3800.00,
18/02/2026,OLA CABS,320.00,
20/02/2026,AIRTEL POSTPAID BILL,899.00,
22/02/2026,UPI/MAKE MY TRIP/FLIGHT,6500.00,
25/02/2026,FLIPKART INTERNET,1850.00,
28/02/2026,UPI/ZOMATO/55667788,480.00,
02/03/2026,NEFT/SALARY/TECHCORP,,80000.00
03/03/2026,UPI/SWIGGY/99887766,350.00,
05/03/2026,NETFLIX SUBSCRIPTION,499.00,
06/03/2026,AMAZON PAY INDIA,999.00,
10/03/2026,HDFC LIFE INSURANCE EMI,2500.00,
12/03/2026,UPI/Blinkit/grocery,1100.00,
15/03/2026,RELIANCE SMART,4500.00,
18/03/2026,UBER INDIA,280.00,
20/03/2026,AIRTEL POSTPAID BILL,899.00,
22/03/2026,UPI/IRCTC/TRAIN,1500.00,
25/03/2026,OLA CABS,450.00,
28/03/2026,UPI/Zepto/grocery,700.00,
30/03/2026,UPI/SWIGGY/11223355,620.00,
02/04/2026,NEFT/SALARY/TECHCORP,,80000.00
05/04/2026,NETFLIX SUBSCRIPTION,499.00,
10/04/2026,HDFC LIFE INSURANCE EMI,2500.00,
15/04/2026,RELIANCE SMART,3900.00,
20/04/2026,AIRTEL POSTPAID BILL,899.00,
